LAKE_ID DEPTH_M ELEV_M LONG_DD LAT_DD Fch_Jan Fch_Feb Fch_Mar Fch_Apr Fch_May Fch_Jun Fch_Jul Fch_Aug Fch_Sep Fch_Oct Fch_Nov Fch_Dec Area2000_02_km2 sto_cap_km3 area_cap_km2 elev_cap_m a b tile1 tile2
141 27.4 163 147.033 -36.108 3614 3740 3741 4089 4066 3608 3586 3602 3620 3622 3602 4028 124.991 3.037 201.9 192 0.15398751 161.8163277 h29v12 hxxvxx
142 10.3 670 37.47 -3.825 4247 4181 4428 5454 6118 6333 5962 5325 4955 4625 4276 4200 83.03 0.6 126.327 689.6460236 0.099997077 677.0136583 h21v09 hxxvxx
143 10.1 409 77.929 18.205 7068 7265 7835 7969 6876 6894 6801 7057 6867 6255 6963 6866 89.635 0.504 92.753 428.24 0.089301025 419.9570939 h25v07 hxxvxx
144 6.3 27 141.277 -34.044 8850 9586 9483 9185 11115 10617 10590 11115 9040 7009 8424 8294 109.165 0.677 122 27.72783247 0.165581783 7.526854944 h29v12 hxxvxx
145 31.2 61 -89.769 33.815 6381 5724 4799 4766 4827 4781 4766 5119 6200 4919 4766 5066 84.475 1.544 128.29 65.532 0.126143211 49.34905094 h10v05 hxxvxx
146 15.7 1374 -121.088 40.175 8835 8230 6686 4888 5044 5207 4951 4888 6337 7960 8170 8611 102.474 1.613 108.393 1373.124 0.687489128 1300.935473 h08v04 hxxvxx
147 13.4 753 45.402 39.091 4030 3775 3775 4182 5929 8987 6740 6931 9742 4594 3773 3969 68.582 1.35 145 779.9404326 0.118447523 762.7655418 h21v05 hxxvxx
148 13 464 35.907 14.925 10647 10726 10386 10894 4110 4691 5671 6361 9335 4533 8226 10622 91.89 1.3 125 474.7595408 0.09341818 463.0822683 h21v07 hxxvxx
149 8.5 1470 -116.053 44.523 7822 9555 5824 3517 3352 3578 4790 3784 3166 4485 6973 9256 81.944 0.855 101.98 1471.5744 0.16232372 1455.020678 h09v04 hxxvxx
150 18.2 463 18.569 66.978 3666 3666 3683 3666 3666 3992 3677 3666 3666 3666 3666 3666 71.716 1.675 81 470.1487685 0.629179917 419.1851952 h18v02 hxxvxx
151 25.4 564 40.542 10.233 5675 5671 5627 5660 5627 9072 6014 5858 10147 5938 5836 5714 80.885 2.323 104.87 568.2473031 0.330435254 533.5944211 h21v07 hxxvxx
152 8.1 1370 -121.078 41.926 6719 6706 5863 6071 5977 6479 6525 6463 6808 5876 6307 6556 95.554 0.556 100.362 1365.842647 0.199682008 1345.802153 h08v04 hxxvxx
153 25.2 478 115.602 40.232 2526 2523 2604 3082 5791 4771 3783 4320 8465 2890 2525 2523 92.63 4.16 130 479.0864572 0.107639202 465.0933609 h26v04 hxxvxx
154 31.9 274 -7.635 32.473 4035 4033 3979 4015 4015 4022 4015 4015 4020 4098 4388 4347 88.446 2.76 80 268.5405347 0.339161618 241.4076053 h17v05 hxxvxx
155 16.6 258 -100.615 27.51 5280 6192 5816 5720 5720 5742 5822 5793 5720 5720 5792 5412 94.454 1.313 150.556 266.5294655 0.094563792 252.2923571 h09v06 hxxvxx
156 7.9 92 44.97 34.115 4854 4838 4857 7499 5363 5222 5265 5153 5626 7885 4734 4866 80.333 4.61 227.999 107.5 0.119627006 80.22516301 h21v05 hxxvxx
157 17.3 295 78.372 25.097 5406 4753 3447 3148 3146 3258 3664 3224 3182 4621 4249 4962 69.968 0.707 112.072 308.46 0.100280376 297.2213627 h25v06 hxxvxx
158 21.8 573 -100.523 31.368 3212 3855 4248 4804 5339 5501 5314 5538 5837 5163 3780 3202 6.244 0.23 29.467 591.37296 0.495168085 576.7818052 h09v05 hxxvxx
159 36 78 79.305 14.488 5077 3440 3178 3160 3299 4243 4769 5137 5015 3690 3797 4288 77.802 1.994 153.173 100.58 0.171437186 74.32044838 h25v07 hxxvxx
160 43.1 432 119.697 42.751 6465 6102 5091 3681 3490 4568 4895 4318 3490 4141 5081 5741 44.38 2.56 66.896 437.6423899 0.232680434 422.0769177 h26v04 hxxvxx
161 9.8 51 146.74 -19.412 4702 6214 5673 5533 5108 4568 5100 6156 3813 3304 3380 3381 53.03 0.417 82 41.77053775 0.111775191 32.60497209 h31v10 hxxvxx
162 32.3 57 82.088 17.304 3451 3308 4055 4421 4339 5830 5574 5522 5698 5574 5586 4906 39.253 0.508 49.357 86.56 0.588558616 57.51076033 h25v07 hxxvxx
163 26.2 396 67.632 37.829 3611 3611 3669 4165 4374 4908 4128 4028 4461 4056 3693 3611 28.636 0.8 40.263 411.4058923 0.337954886 397.7986778 h23v05 hxxvxx
164 28.8 150 112.772 33.732 3142 3098 3275 3023 3023 3023 3037 4085 4065 3523 3029 3085 31.583 0.713 46.5 174.2742879 0.358038263 157.6255087 h27v05 hxxvxx
